Experiment,Biomass (mg dw/L),PHB (mg/L),% PHB,PHV (mg/L),% PHV,5-ALA (micromol/L),Q10 (mg/g dw),Carotenoids (mg/g dw),Experiment,Time (d),g substrate COD/L,Type of substrate,mg N/L,C/N (molar base),mg ethanol/L,Fraction mineral medium,g NaHCO3/L,Illumination,Levulinic acid,Fe (mg Ferric citrate/L),Operation mode,% Volume exchange
1,2317,81,3.5,8.5,0.4,,,,,5,5.13,Acetate,154.7,14.5,0,1,0,continuous,No,5,Batch,100
2,2467,85.56,3.47,11.97,0.57,,,,,5,5.13,Acetate,154.7,14.5,0,1,0,continuous,No,5,Batch,100
3,1150,69.51,6.04,8.95,0.7,,,,,5,5.13,Acetate,154.7,8.7,0,1,0,continuous,No,5,Batch,100
4,1133,54,5.31,8.67,0.68,,,,,5,5.13,Acetate,154.7,8.7,0,1,0,continuous,No,5,Batch,100
5,1683,91.85,5.46,4.72,0.31,,,,,5,5.13,Acetate,0,16,0,1,0,continuous,No,5,Batch,100
6,1667,93.18,5.59,5.12,0.34,,,,,5,5.13,Acetate,0,16,0,1,0,continuous,No,5,Batch,100
7,2000,81.6,4.08,7.8,0.39,,,,,5,5.13,Acetate,154.7,8.7,0,1,0,continuous,No,5,Batch,100
8,2067,83.51,4.04,8.27,0.41,,,,,5,5.13,Acetate,154.7,8.7,0,1,0,continuous,No,5,Batch,100
9,2133,88.28,4.14,9.81,0.46,,,,,5,5.13,Acetate,154.7,8.7,0,1,0,continuous,No,5,Batch,100
10,2083,85.4,4.1,10.41,0.48,,,,,5,5.13,Acetate,154.7,16.3,0,1,0,continuous,No,5,Batch,100
11,1313,131,9.6,12.5,1,,,,,3,5.13,Acetate,154.7,16.3,0,1,0,continuous,No,5,Batch,100
12,1237,99,8.4,9.5,0.8,,,,,3,5.13,Acetate,154.7,16.3,0,1,0,continuous,No,5,Batch,100
13,1333,120.68,9.05,7.71,0.58,,,,,4,5.9,Acetate,154.7,16,0.79,1,0,continuous,No,5,Batch,100
14,1383,125.21,9.05,8,0.58,,,,,4,5.9,Acetate,154.7,16,0.79,1,0,continuous,No,5,Batch,100
15,1667,202.07,12.12,9.59,0.58,,,,,4,5.9,Acetate,154.7,16,0.79,1,0,continuous,No,5,Batch,100
16,1733,210.15,12.12,9.97,0.58,,,,,4,5.9,Acetate,154.7,16,0.79,1,0,continuous,No,5,Batch,100
17,817,74.8372,9.16,4.89,0.6,,,,,4,5.9,Acetate,154.7,16,0,1,0,continuous,No,5,Batch,100
18,933,86.6757,9.29,5.67,0.61,,,,,4,5.9,Acetate,154.7,16,0,1,0,continuous,No,5,Batch,100
19,1683,154.86,9.2,10.9,0.65,,,,,4,5.9,Acetate,154.7,16,0,1,0,continuous,No,5,Batch,100
20,1717,157.93,9.2,11.11,0.65,,,,,4,5.9,Acetate,154.7,16,0,1,0,continuous,No,5,Batch,100
21,1417,238.44,16.83,10.65,0.75,,,,,3,3.57,Acetate,130,12,0.79,1,0,continuous,No,5,Batch,100
22,1367,230.03,16.83,10.27,0.75,,,,,3,3.57,Acetate,130,12,0.79,1,0,continuous,No,5,Batch,100
23,1417,207.58,14.65,9.3,0.66,,,,,3,3.86,Acetate,130,13,0.79,1,0,continuous,No,5,Batch,100
24,1467,214.91,14.65,9.63,0.66,,,,,3,3.86,Acetate,130,13,0.79,1,0,continuous,No,5,Batch,100
25,1433,225.72,15.75,10.67,0.74,,,,,3,4.16,Acetate,130,14,0.79,1,0,continuous,No,5,Batch,100
26,1400,220.47,15.75,10.43,0.74,,,,,3,4.16,Acetate,130,14,0.79,1,0,continuous,No,5,Batch,100
27,1333,195.24,14.64,11.37,0.85,,,,,3,4.76,Acetate,130,16,0.79,1,0,continuous,No,5,Batch,100
28,1350,197.68,14.64,11.51,0.85,,,,,3,4.76,Acetate,130,16,0.79,1,0,continuous,No,5,Batch,100
29,1538,158.07,10.28,0.6,0.6,,,,,5,5.36,Acetate,130,18,0.79,1,0,continuous,No,5,Batch,100
30,1463,158.49,10.84,0.65,0.65,,,,,5,5.36,Acetate,130,18,0.79,1,0,continuous,No,5,Batch,100
31,1313,136.59,10.41,0.67,0.67,,,,,5,5.95,Acetate,130,20,0.79,1,0,continuous,No,5,Batch,100
32,1212,126.19,10.41,0.67,0.67,,,,,5,5.95,Acetate,130,20,0.79,1,0,continuous,No,5,Batch,100
33,1513,118.58,7.22,,,,,,,4,3.86,Acetate,249.9,9,0,1,0,continuous,No,5,Batch,100
34,1575,115.41,7.22,,,,,,,4,3.86,Acetate,249.9,9,0,1,0,continuous,No,5,Batch,100
35,1513,125.64,8.97,,,,,,,4,5.5,Acetate,354.6,9,0.79,1,0,continuous,No,5,Batch,100
36,1675,145.93,8.62,,,,,,,4,5.5,Acetate,354.6,9,0.79,1,0,continuous,No,5,Batch,100
37,1650,121.71,8.71,,,,,,,4,7.16,Acetate,463.54,9,1.58,1,0,continuous,No,5,Batch,100
38,1563,136.49,8.71,,,,,,,4,7.16,Acetate,463.54,9,1.58,1,0,continuous,No,5,Batch,100
39,1883,148.89,7.91,19.2,1.02,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
40,1883,148.89,7.91,19.2,1.02,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
41,1617,127.72,7.9,12.08,0.75,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
42,1617,127.72,7.9,12.08,0.75,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
43,1917,166.57,8.69,18.17,0.95,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
44,1950,169.47,8.69,18.49,0.95,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
45,1633,145.19,8.89,11.68,0.71,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
46,1650,146.67,8.89,11.8,0.71,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
47,1800,311.53,17.31,13.7,0.76,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
48,1833,335.24,18.29,13.95,0.76,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
49,1650,187.23,11.35,11.93,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
50,1617,183.45,11.35,11.69,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
51,1483,245.02,16.52,10.66,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
52,1500,247.83,16.52,10.79,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
53,1383,235.63,17.03,10.67,0.7,,,,,5,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
54,1367,251.11,18.37,11.98,0.79,,,,,5,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
55,1833,152.46,8.32,13.61,0.74,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
56,1750,145.53,8.32,12.99,0.74,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
57,1750,113.21,6.47,10.54,0.6,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
58,1817,117.52,6.47,10.94,0.6,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
59,1867,101.48,5.44,14.95,0.8,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
60,1700,92.42,5.44,13.61,0.8,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
61,1450,124.82,8.61,1.54,0.11,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
62,1317,113.34,8.61,1.4,0.11,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
63,1533,96.64,6.3,1.25,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
64,1350,85.08,6.3,1.1,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
65,1667,140.25,8.42,2.74,0.16,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
66,1650,138.85,8.42,2.72,0.16,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
67,1767,50.3,2.85,1.45,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
68,1750,49.83,2.85,1.44,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
69,1800,57.81,3.21,8.34,0.46,,,,,7,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
70,1717,55.13,3.21,7.95,0.46,,,,,7,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
71,1283,109.26,8.51,12.74,1.03,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
72,1367,116.36,8.51,12.22,1.03,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
73,2233,189.12,8.16,3.42,0.15,3.02,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
74,2167,189.12,8.16,3.66,0.15,2.78,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
75,2017,180.31,7.67,3.56,0.16,2.78,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
76,2133,177.75,7.67,3.72,0.16,2.86,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
77,1233,221.21,17.94,17.18,1.45,7.86,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
78,1183,212.24,17.94,17.91,1.45,7.46,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
79,2050,363.97,15.94,13.46,0.58,3.02,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
80,2067,356,15.94,13.17,0.58,3.02,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
81,1900,305.42,14.54,11.25,0.52,3.41,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
82,2000,312.69,14.54,10.81,0.52,3.1,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
83,1250,439.13,35.13,8.15,0.58,4.84,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
84,1250,443.38,35.47,8.06,0.58,4.68,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
85,900,82.8,9.03,2.03,0.22,8.1,,,,5,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
86,950,87.31,9.03,2.14,0.22,7.3,,,,5,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
87,1917,233.29,12.17,4.97,0.27,4.21,,,,7,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
88,2117,258.14,12.2,4.77,0.27,4.6,,,,7,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
89,1333,504.92,37.87,9.63,0.78,6.03,,,,7,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
90,1283,485.98,37.87,10.41,0.78,5.95,,,,7,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
91,1167,328.35,28.14,10.79,0.94,8.17,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
92,1267,356.49,28.14,11.41,0.94,8.57,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
93,1067,363.17,34.05,11,1.04,5.24,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,12 h on 12 h off,No,10,Batch,100
94,1133,385.87,34.05,11.68,1.04,6.19,,,,9,4.97,MCCA,154.7,14,0.8,1,1.5,12 h on 12 h off,No,10,Batch,100
95,1017,347.13,34.14,5.03,0.59,8.93,4.71,2.42,6.58,10,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
96,1017,347.13,34.14,4.93,0.59,7.6,5,2.56,6.45,10,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
97,983,326.48,33.2,6.09,0.78,8.26,4.64,1.88,5.01,10,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
98,983,326.48,33.2,6.48,0.78,8.02,4.54,1.94,4.92,10,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
99,1667,403.57,24.21,5.64,0.4,3.88,13.77,5.48,18.36,8,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
100,1667,403.57,24.21,5.91,0.4,4.79,14.31,6.41,17.72,8,4.97,MCCA,154.7,14,0.79,1,1.5,12 h on 12 h off,No,10,Batch,100
101,1617,374.76,23.18,7.44,0.52,3.06,13.79,4.91,16.71,8,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
102,1533,355.44,23.18,8.13,0.52,3.22,13.17,4.98,16.37,8,4.97,MCCA,154.7,14,0.79,1,1.5,0.5 h on 0.5 h off,No,10,Batch,100
103,1354,608.55,44.94,15.48,1.14,10.32,1.23,2.18,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
104,1354,608.55,44.94,15.48,1.14,9.68,1.22,2.23,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
105,1283,528.85,41.21,13.36,1.04,7.78,1.6,2.1,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
106,1167,480.77,41.21,12.15,1.04,8.17,1.57,2.21,,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
107,1233,496.62,40.27,12.37,0.99,4.52,2.41,1.78,6.15,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
108,1150,463.06,40.27,12.27,0.98,3.25,2.27,1.79,5.81,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
109,1067,384.32,36.03,38.35,3.29,22.22,1.41,1.46,4.85,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,5,Batch,100
110,1017,366.3,36.03,37.8,3.29,22.38,1.36,1.43,4.96,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,5,Batch,100
111,1500,458.17,30.54,13.35,0.95,99.68,7.88,4.37,11.69,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,10,Batch,100
112,1500,476.28,31.75,14.96,1.06,99.29,7.84,4.14,10.61,10,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,Yes,10,Batch,100
